            5   0.409298E-03   0.559478E-03   0.112208E-02   0.147737E-02   0.147425E-01   0.198801E-01   0.212790E-01   0.206533E-01
           10   0.389927E-03   0.529597E-03   0.110625E-02   0.155497E-02   0.109664E-01   0.146024E-01   0.183595E-01   0.178939E-01
           15   0.377436E-03   0.508626E-03   0.106420E-02   0.147459E-02   0.497894E-02   0.633828E-02   0.152859E-01   0.149563E-01
           20   0.391521E-03   0.523022E-03   0.103339E-02   0.133078E-02   0.338229E-02   0.463274E-02   0.122815E-01   0.121288E-01
           25   0.351476E-03   0.463080E-03   0.975610E-03   0.142399E-02   0.388301E-02   0.469354E-02   0.991444E-02   0.100283E-01
           30   0.385656E-03   0.507292E-03   0.943944E-03   0.138449E-02   0.423113E-02   0.498553E-02   0.782497E-02   0.796732E-02
           35   0.421824E-03   0.561703E-03   0.911674E-03   0.123735E-02   0.444987E-02   0.510579E-02   0.593603E-02   0.601063E-02
           40   0.448703E-03   0.596337E-03   0.889294E-03   0.122479E-02   0.455968E-02   0.509168E-02   0.514666E-02   0.502794E-02
           45   0.416730E-03   0.547299E-03   0.852454E-03   0.126128E-02   0.457603E-02   0.497153E-02   0.489471E-02   0.481048E-02
           50   0.451726E-03   0.590903E-03   0.836958E-03   0.117123E-02   0.451144E-02   0.476731E-02   0.454444E-02   0.450830E-02
           55   0.487078E-03   0.635539E-03   0.845441E-03   0.108815E-02   0.437900E-02   0.449926E-02   0.415627E-02   0.416603E-02
           60   0.437112E-03   0.564340E-03   0.841835E-03   0.119181E-02   0.419377E-02   0.418803E-02   0.403305E-02   0.406022E-02
           65   0.468914E-03   0.605498E-03   0.854926E-03   0.117457E-02   0.397120E-02   0.385319E-02   0.405440E-02   0.402539E-02
           70   0.486430E-03   0.627982E-03   0.859825E-03   0.107895E-02   0.372361E-02   0.360673E-02   0.394424E-02   0.389835E-02
           75   0.480846E-03   0.619509E-03   0.860911E-03   0.110141E-02   0.345804E-02   0.333043E-02   0.406561E-02   0.391288E-02
           80   0.465834E-03   0.598502E-03   0.859323E-03   0.113760E-02   0.317789E-02   0.305384E-02   0.410375E-02   0.388470E-02
           85   0.465760E-03   0.599172E-03   0.849718E-03   0.105079E-02   0.299463E-02   0.280298E-02   0.402333E-02   0.374595E-02
           90   0.475894E-03   0.613293E-03   0.845534E-03   0.100088E-02   0.283044E-02   0.258693E-02   0.384324E-02   0.354015E-02
           95   0.436056E-03   0.559311E-03   0.826557E-03   0.106382E-02   0.267576E-02   0.239298E-02   0.359589E-02   0.343292E-02
          100   0.447321E-03   0.575827E-03   0.822463E-03   0.100281E-02   0.251081E-02   0.219483E-02   0.332670E-02   0.335045E-02
          105   0.488080E-03   0.633329E-03   0.826909E-03   0.866641E-03   0.231928E-02   0.197027E-02   0.315911E-02   0.331358E-02
          110   0.496643E-03   0.646282E-03   0.827218E-03   0.825488E-03   0.210118E-02   0.178360E-02   0.324923E-02   0.325280E-02
          115   0.489173E-03   0.637352E-03   0.820369E-03   0.812500E-03   0.187575E-02   0.178446E-02   0.350150E-02   0.314381E-02
          120   0.476604E-03   0.621743E-03   0.803423E-03   0.839529E-03   0.167137E-02   0.191059E-02   0.345072E-02   0.307335E-02
          125   0.448049E-03   0.584980E-03   0.781886E-03   0.895498E-03   0.150871E-02   0.191515E-02   0.311058E-02   0.306747E-02
          130   0.399551E-03   0.521039E-03   0.761518E-03   0.946446E-03   0.138809E-02   0.177233E-02   0.299456E-02   0.347588E-02
          135   0.451918E-03   0.593340E-03   0.773533E-03   0.831163E-03   0.128970E-02   0.175220E-02   0.291588E-02   0.295041E-02
          140   0.475246E-03   0.626488E-03   0.776196E-03   0.808382E-03   0.119034E-02   0.177555E-02   0.300680E-02   0.273607E-02
          145   0.433743E-03   0.570528E-03   0.755311E-03   0.887589E-03   0.117341E-02   0.174611E-02   0.329445E-02   0.282949E-02
          150   0.379740E-03   0.498533E-03   0.731558E-03   0.934540E-03   0.118868E-02   0.174982E-02   0.328797E-02   0.304659E-02
          155   0.416158E-03   0.548682E-03   0.736010E-03   0.858811E-03   0.119390E-02   0.170893E-02   0.300264E-02   0.274628E-02
          160   0.443010E-03   0.586013E-03   0.733875E-03   0.849743E-03   0.124482E-02   0.177454E-02   0.288924E-02   0.267440E-02
          165   0.407514E-03   0.539275E-03   0.712635E-03   0.892294E-03   0.117439E-02   0.170692E-02   0.289989E-02   0.286549E-02
          170   0.362482E-03   0.478297E-03   0.684766E-03   0.956449E-03   0.116674E-02   0.169155E-02   0.288540E-02   0.287300E-02
          175   0.387244E-03   0.513031E-03   0.691111E-03   0.924180E-03   0.119094E-02   0.170332E-02   0.287663E-02   0.284860E-02
          180   0.410193E-03   0.545228E-03   0.692634E-03   0.879516E-03   0.114616E-02   0.165490E-02   0.281460E-02   0.281999E-02
          185   0.381567E-03   0.506468E-03   0.667138E-03   0.928010E-03   0.118374E-02   0.165773E-02   0.278012E-02   0.287052E-02
          190   0.332211E-03   0.440116E-03   0.636696E-03   0.985151E-03   0.132227E-02   0.184497E-02   0.265234E-02   0.285532E-02
          195   0.350111E-03   0.464710E-03   0.626715E-03   0.962258E-03   0.135110E-02   0.189162E-02   0.251419E-02   0.300849E-02
          200   0.348483E-03   0.462049E-03   0.614742E-03   0.100817E-02   0.121311E-02   0.169959E-02   0.246131E-02   0.304588E-02
          205   0.300994E-03   0.397334E-03   0.587776E-03   0.109858E-02   0.108640E-02   0.154115E-02   0.247454E-02   0.288067E-02
          210   0.273274E-03   0.360665E-03   0.572708E-03   0.110680E-02   0.102278E-02   0.145279E-02   0.237710E-02   0.310911E-02
          215   0.321619E-03   0.428255E-03   0.595783E-03   0.102357E-02   0.110348E-02   0.167531E-02   0.282589E-02   0.318886E-02
          220   0.348578E-03   0.465164E-03   0.605163E-03   0.975602E-03   0.121155E-02   0.182138E-02   0.304832E-02   0.298935E-02
          225   0.325612E-03   0.433502E-03   0.592995E-03   0.949271E-03   0.124857E-02   0.186407E-02   0.307692E-02   0.289290E-02
          230   0.319741E-03   0.425261E-03   0.590582E-03   0.960041E-03   0.127961E-02   0.189422E-02   0.304523E-02   0.277673E-02
          235   0.346698E-03   0.461932E-03   0.613822E-03   0.959008E-03   0.112977E-02   0.168254E-02   0.328279E-02   0.271421E-02
          240   0.324598E-03   0.432253E-03   0.612426E-03   0.970625E-03   0.115730E-02   0.158575E-02   0.329624E-02   0.283123E-02
          245   0.297302E-03   0.396467E-03   0.611629E-03   0.934225E-03   0.135020E-02   0.198706E-02   0.318208E-02   0.276696E-02
          250   0.332580E-03   0.445461E-03   0.629134E-03   0.867157E-03   0.141407E-02   0.206192E-02   0.316942E-02   0.267026E-02
          255   0.367560E-03   0.492272E-03   0.639260E-03   0.865172E-03   0.127505E-02   0.187096E-02   0.327950E-02   0.246670E-02
          260   0.343373E-03   0.458175E-03   0.622681E-03   0.904193E-03   0.108304E-02   0.160422E-02   0.340733E-02   0.266404E-02
          265   0.312714E-03   0.418376E-03   0.608986E-03   0.926864E-03   0.126246E-02   0.185229E-02   0.335927E-02   0.267717E-02
          270   0.333044E-03   0.447260E-03   0.611323E-03   0.876088E-03   0.146584E-02   0.211717E-02   0.325223E-02   0.260130E-02
          275   0.353186E-03   0.472794E-03   0.619923E-03   0.825416E-03   0.149347E-02   0.215856E-02   0.327518E-02   0.245358E-02
          280   0.346484E-03   0.463035E-03   0.628781E-03   0.829146E-03   0.145678E-02   0.210105E-02   0.338841E-02   0.264567E-02
          285   0.340903E-03   0.457555E-03   0.645967E-03   0.825408E-03   0.130161E-02   0.188332E-02   0.334672E-02   0.284036E-02
          290   0.368081E-03   0.496096E-03   0.675573E-03   0.782854E-03   0.145145E-02   0.208453E-02   0.328391E-02   0.254683E-02
